Tenacity at Break (Standard),"0.23566",N/tex
Tensile extension at Break (Standard),"74.01347",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"0.00000","0.00000","0.02224","0.00000","0.00371","0.02224","0.00000"
"0.10000","0.06864","-0.05889","0.00215","-0.00982","-0.05889","0.06864"
"0.20000","0.17915","0.03748","0.00560","0.00625","0.03748","0.17915"
"0.30000","0.27960","0.01178","0.00874","0.00196","0.01178","0.27960"
"0.40000","0.37954","-0.03792","0.01186","-0.00632","-0.03792","0.37954"
"0.50000","0.47951","0.01361","0.01498","0.00227","0.01361","0.47951"
"0.60000","0.57956","-0.00990","0.01811","-0.00165","-0.00990","0.57956"
"0.70000","0.67962","0.07278","0.02124","0.01213","0.07278","0.67962"
"0.80000","0.77953","-0.02206","0.02436","-0.00368","-0.02206","0.77953"
"0.90000","0.87951","0.03965","0.02748","0.00661","0.03965","0.87951"
"1.00000","0.97956","0.04147","0.03061","0.00691","0.04147","0.97956"
"1.10000","1.07963","0.00378","0.03374","0.00063","0.00378","1.07963"
"1.20000","1.17958","0.14919","0.03686","0.02487","0.14919","1.17958"
"1.30000","1.27948","0.04258","0.03998","0.00710","0.04258","1.27948"
"1.40000","1.37949","0.11394","0.04311","0.01899","0.11394","1.37949"
"1.50000","1.47965","0.08350","0.04624","0.01392","0.08350","1.47965"
"1.60000","1.57958","0.09682","0.04936","0.01614","0.09682","1.57958"
"1.70000","1.67948","0.14873","0.05248","0.02479","0.14873","1.67948"
"1.80000","1.77954","0.09341","0.05561","0.01557","0.09341","1.77954"
"1.90000","1.87967","0.08838","0.05874","0.01473","0.08838","1.87967"
"2.00000","1.97950","0.12914","0.06186","0.02152","0.12914","1.97950"
"2.10000","2.07948","0.11283","0.06498","0.01881","0.11283","2.07948"
"2.20000","2.17959","0.10282","0.06811","0.01714","0.10282","2.17959"
"2.30000","2.27966","0.03704","0.07124","0.00617","0.03704","2.27966"
"2.40000","2.37956","0.18897","0.07436","0.03149","0.18897","2.37956"
"2.50000","2.47948","0.10250","0.07748","0.01708","0.10250","2.47948"
"2.60000","2.57958","0.12643","0.08061","0.02107","0.12643","2.57958"
"2.70000","2.67963","0.18037","0.08374","0.03006","0.18037","2.67963"
"2.80000","2.77950","0.07996","0.08686","0.01333","0.07996","2.77950"
"2.90000","2.87953","0.12118","0.08999","0.02020","0.12118","2.87953"
"3.00000","2.97958","0.07350","0.09311","0.01225","0.07350","2.97958"
"3.10000","3.07966","0.15832","0.09624","0.02639","0.15832","3.07966"
"3.20000","3.17955","0.18365","0.09936","0.03061","0.18365","3.17955"
"3.30000","3.27951","0.16350","0.10248","0.02725","0.16350","3.27951"
"3.40000","3.37957","0.15202","0.10561","0.02534","0.15202","3.37957"
"3.50000","3.47964","0.10936","0.10874","0.01823","0.10936","3.47964"
"3.60000","3.57958","0.16204","0.11186","0.02701","0.16204","3.57958"
"3.70000","3.67945","0.18300","0.11498","0.03050","0.18300","3.67945"
"3.80000","3.77951","0.16499","0.11811","0.02750","0.16499","3.77951"
"3.90000","3.87968","0.14748","0.12124","0.02458","0.14748","3.87968"
