Tenacity at Break (Standard),"0.22267",N/tex
Tensile extension at Break (Standard),"70.45257",mm
Tenacity at Yield ,,N/tex

Time,Extension,Load,Tensile strain (Extension),Tensile stress,Tenacity,Tensile extension
(s),(mm),(N),(mm/mm),(MPa),(N/tex),(mm)
"0.00000","0.00000","0.00520","0.00000","0.00072","0.00520","0.00000"
"0.10000","0.06853","-0.01310","0.00214","-0.00182","-0.01310","0.06853"
"0.20000","0.17923","0.00353","0.00560","0.00049","0.00353","0.17923"
"0.30000","0.27948","-0.01709","0.00873","-0.00237","-0.01709","0.27948"
"0.40000","0.37948","0.04744","0.01186","0.00659","0.04744","0.37948"
"0.50000","0.47958","0.09517","0.01499","0.01322","0.09517","0.47958"
"0.60000","0.57964","0.02369","0.01811","0.00329","0.02369","0.57964"
"0.70000","0.67952","0.05858","0.02124","0.00814","0.05858","0.67952"
"0.80000","0.77945","0.09413","0.02436","0.01307","0.09413","0.77945"
"0.90000","0.87957","0.03363","0.02749","0.00467","0.03363","0.87957"
"1.00000","0.97963","0.06469","0.03061","0.00898","0.06469","0.97963"
"1.10000","1.07953","0.17140","0.03374","0.02381","0.17140","1.07953"
"1.20000","1.17949","0.16087","0.03686","0.02234","0.16087","1.17949"
"1.30000","1.27954","0.15136","0.03999","0.02102","0.15136","1.27954"
"1.40000","1.37956","0.15821","0.04311","0.02197","0.15821","1.37956"
"1.50000","1.47956","0.12194","0.04624","0.01694","0.12194","1.47956"
"1.60000","1.57954","0.17936","0.04936","0.02491","0.17936","1.57954"
"1.70000","1.67954","0.19485","0.05249","0.02706","0.19485","1.67954"
"1.80000","1.77959","0.20466","0.05561","0.02842","0.20466","1.77959"
"1.90000","1.87952","0.20739","0.05874","0.02880","0.20739","1.87952"
"2.00000","1.97944","0.24025","0.06186","0.03337","0.24025","1.97944"
"2.10000","2.07951","0.14602","0.06498","0.02028","0.14602","2.07951"
"2.20000","2.17967","0.15961","0.06811","0.02217","0.15961","2.17967"
"2.30000","2.27956","0.22782","0.07124","0.03164","0.22782","2.27956"
"2.40000","2.37946","0.21140","0.07436","0.02936","0.21140","2.37946"
"2.50000","2.47956","0.22118","0.07749","0.03072","0.22118","2.47956"
"2.60000","2.57966","0.18580","0.08061","0.02581","0.18580","2.57966"
"2.70000","2.67960","0.19295","0.08374","0.02680","0.19295","2.67960"
"2.80000","2.77946","0.25945","0.08686","0.03603","0.25945","2.77946"
"2.90000","2.87958","0.21634","0.08999","0.03005","0.21634","2.87958"
"3.00000","2.97961","0.27414","0.09311","0.03808","0.27414","2.97961"
"3.10000","3.07952","0.29069","0.09624","0.04037","0.29069","3.07952"
"3.20000","3.17950","0.29663","0.09936","0.04120","0.29663","3.17950"
"3.30000","3.27959","0.38511","0.10249","0.05349","0.38511","3.27959"
"3.40000","3.37970","0.35358","0.10562","0.04911","0.35358","3.37970"
"3.50000","3.47957","0.27902","0.10874","0.03875","0.27902","3.47957"
"3.60000","3.57949","0.37082","0.11186","0.05150","0.37082","3.57949"
"3.70000","3.67953","0.28553","0.11499","0.03966","0.28553","3.67953"
"3.80000","3.77957","0.37248","0.11811","0.05173","0.37248","3.77957"
"3.90000","3.87956","0.44120","0.12124","0.06128","0.44120","3.87956"
"4.00000","3.97954","0.35010","0.12436","0.04863","0.35010","3.97954"
"4.10000","4.07956","0.32316","0.12749","0.04488","0.32316","4.07956"
"4.20000","4.17964","0.40816","0.13061","0.05669","0.40816","4.17964"
"4.30000","4.27958","0.43142","0.13374","0.05992","0.43142","4.27958"
"4.40000","4.37944","0.34128","0.13686","0.04740","0.34128","4.37944"
"4.50000","4.47955","0.42262","0.13999","0.05870","0.42262","4.47955"
"4.60000","4.57966","0.50256","0.14311","0.06980","0.50256","4.57966"
"4.70000","4.67958","0.39158","0.14624","0.05439","0.39158","4.67958"
"4.80000","4.77946","0.45284","0.14936","0.06289","0.45284","4.77946"
"4.90000","4.87954","0.47092","0.15249","0.06540","0.47092","4.87954"
"5.00000","4.97968","0.41372","0.15561","0.05746","0.41372","4.97968"
"5.10000","5.07955","0.46081","0.15874","0.06400","0.46081","5.07955"
"5.20000","5.17947","0.48312","0.16186","0.06710","0.48312","5.17947"
"5.30000","5.27955","0.42588","0.16499","0.05915","0.42588","5.27955"
"5.40000","5.37963","0.47965","0.16811","0.06662","0.47965","5.37963"
"5.50000","5.47954","0.53215","0.17124","0.07391","0.53215","5.47954"
"5.60000","5.57951","0.49210","0.17436","0.06835","0.49210","5.57951"
"5.70000","5.67959","0.55266","0.17749","0.07676","0.55266","5.67959"
"5.80000","5.77964","0.53340","0.18061","0.07408","0.53340","5.77964"
"5.90000","5.87959","0.53457","0.18374","0.07425","0.53457","5.87959"
"6.00000","5.97950","0.49375","0.18686","0.06858","0.49375","5.97950"
"6.10000","6.07955","0.55276","0.18999","0.07677","0.55276","6.07955"
"6.20000","6.17961","0.51750","0.19311","0.07188","0.51750","6.17961"
"6.30000","6.27961","0.57465","0.19624","0.07981","0.57465","6.27961"
"6.40000","6.37948","0.48185","0.19936","0.06692","0.48185","6.37948"
"6.50000","6.47952","0.54243","0.20249","0.07534","0.54243","6.47952"
"6.60000","6.57966","0.52727","0.20561","0.07323","0.52727","6.57966"
"6.70000","6.67957","0.57695","0.20874","0.08013","0.57695","6.67957"
"6.80000","6.77945","0.54287","0.21186","0.07540","0.54287","6.77945"
"6.90000","6.87951","0.58190","0.21498","0.08082","0.58190","6.87951"
"7.00000","6.97964","0.62998","0.21811","0.08750","0.62998","6.97964"
"7.10000","7.07953","0.55308","0.22124","0.07682","0.55308","7.07953"
"7.20000","7.17942","0.59470","0.22436","0.08260","0.59470","7.17942"
"7.30000","7.27952","0.60914","0.22749","0.08460","0.60914","7.27952"
"7.40000","7.37959","0.62257","0.23061","0.08647","0.62257","7.37959"
"7.50000","7.47954","0.56576","0.23374","0.07858","0.56576","7.47954"
"7.60000","7.57946","0.58212","0.23686","0.08085","0.58212","7.57946"
"7.70000","7.67952","0.70426","0.23998","0.09781","0.70426","7.67952"
"7.80000","7.77958","0.57374","0.24311","0.07969","0.57374","7.77958"
"7.90000","7.87956","0.66061","0.24624","0.09175","0.66061","7.87956"
"8.00000","7.97949","0.72290","0.24936","0.10040","0.72290","7.97949"
"8.10000","8.07953","0.63318","0.25249","0.08794","0.63318","8.07953"
"8.20000","8.17961","0.66603","0.25561","0.09250","0.66603","8.17961"
"8.30000","8.27957","0.73576","0.25874","0.10219","0.73576","8.27957"
"8.40000","8.37948","0.63627","0.26186","0.08837","0.63627","8.37948"
"8.50000","8.47948","0.72099","0.26498","0.10014","0.72099","8.47948"
"8.60000","8.57957","0.74989","0.26811","0.10415","0.74989","8.57957"
"8.70000","8.67956","0.68895","0.27124","0.09569","0.68895","8.67956"
"8.80000","8.77944","0.71253","0.27436","0.09896","0.71253","8.77944"
"8.90000","8.87947","0.74411","0.27748","0.10335","0.74411","8.87947"
"9.00000","8.97963","0.71781","0.28061","0.09970","0.71781","8.97963"
"9.10000","9.07955","0.73080","0.28374","0.10150","0.73080","9.07955"
"9.20000","9.17941","0.73783","0.28686","0.10248","0.73783","9.17941"
"9.30000","9.27950","0.79249","0.28998","0.11007","0.79249","9.27950"
"9.40000","9.37963","0.74347","0.29311","0.10326","0.74347","9.37963"
"9.50000","9.47955","0.73596","0.29624","0.10222","0.73596","9.47955"
"9.60000","9.57942","0.68140","0.29936","0.09464","0.68140","9.57942"
"9.70000","9.67950","0.72078","0.30248","0.10011","0.72078","9.67950"
"9.80000","9.77954","0.77362","0.30561","0.10745","0.77362","9.77954"
"9.90000","9.87950","0.82025","0.30873","0.11392","0.82025","9.87950"
